dc:identifier,dc:modified,ayto:Linea,dc:EtiquetaLinea,ayto:NombreSublinea,ayto:SentidoRuta,ayto:Ruta,ayto:NParada,ayto:NombreParada,ayto:PuntoKM,ayto:PosX,ayto:PosY,uri
43-130-247-2-121-5521,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,121,GENERAL DAVILA 89,5521,433957.41,4813015.49,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-121-5521.csv
43-130-247-2-122-5843,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,122,GENERAL DAVILA 87,5843,434202.3,4813225.59,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-122-5843.csv
43-130-247-2-123-6363,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,123,LOS SALESIANOS,6363,434691.7,4813244.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-123-6363.csv
43-130-247-2-124-6560,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,124,PRADO SAN ROQUE,6560,434889.95,4813227.28,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-124-6560.csv
43-130-247-2-125-6978,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,125,GENERAL DAVILA 41,6978,435305.85,4813278.7,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-125-6978.csv
43-130-247-2-126-7281,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,126,SANTA CLOTILDE,7281,435587.0,4813360.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-126-7281.csv
43-130-247-2-188-3614,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,188,CARDENAL HERRERA ORIA 23,3614,432247.08,4812314.82,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-188-3614.csv
43-130-247-2-189-3834,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,189,CARDENAL HERRERA ORIA 17,3834,432468.72,4812337.22,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-189-3834.csv
43-130-247-2-190-4031,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,190,CARDENAL HERRERA ORIA,4031,432637.9,4812417.97,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-190-4031.csv
43-130-247-2-191-4534,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,191,GENERAL DAVILA 125,4534,433051.99,4812639.17,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-191-4534.csv
43-130-247-2-192-4876,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,192,GENERAL DAVILA 117,4876,433372.38,4812758.48,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-192-4876.csv
43-130-247-2-428-0,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,428,INSTITUTOS PEÑACASTILLO,0,431131.78125,4810968.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-428-0.csv
43-130-247-2-46-3008,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,46,TORRES QUEVEDO 22,3008,432375.48,4812148.34,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-46-3008.csv
43-130-247-2-47-3381,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,47,PLAZA MANUEL LLANO,3381,432092.31,4812250.65,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-47-3381.csv
43-130-247-2-470-6094,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,470,GENERAL DAVILA 77,6094,434430.94,4813261.41,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-470-6094.csv
43-130-247-2-522-8012,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,522,MIRANDA,8012,436302.9,4813316.27,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-522-8012.csv
43-130-247-2-61-873,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,61,CAMPOGIRO 23,873,431398.5,4811459.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-61-873.csv
43-130-247-2-62-1261,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,62,CAMPOGIRO,1261,431645.43,4811747.6,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-62-1261.csv
43-130-247-2-63-1590,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,63,CAMPOGIRO 5,1590,431946.45,4811844.4,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-63-1590.csv
43-130-247-2-64-1939,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,64,CAJO 17,1939,432278.8,4811800.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-64-1939.csv
43-130-247-2-65-2311,2025-02-28T21:02:09.933Z,43,E3,SE MIRANDA-INSTITUTOS,2,247,65,CAJO 5,2311,432643.99,4811879.31,http://datos.santander.es/api/datos/lineas_bus_secuencia/43-130-247-2-65-2311.csv
44-131-248-1-324-0,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,324,PLAZA DE SAN MARTIN,0,436378.35,4812822.92,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-324-0.csv
44-131-248-1-37-458,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,37,CASTELAR 29,458,435952.5,4812738.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-37-458.csv
44-131-248-1-38-719,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,38,CASTELAR 1,719,435694.52,4812764.57,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-38-719.csv
44-131-248-1-39-1203,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,39,PASEO DE PEREDA,1203,435258.42,4812645.73,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-39-1203.csv
44-131-248-1-40-1644,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,40,CORREOS,1644,434821.86,4812597.12,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-40-1644.csv
44-131-248-1-42-2123,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,42,JESUS DE MONASTERIO 12,2123,434352.71,4812629.96,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-42-2123.csv
44-131-248-1-428-7342,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,428,INSTITUTOS PEÑACASTILLO,7342,431131.78125,4810968.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-428-7342.csv
44-131-248-1-43-2718,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,43,SAN FERNANDO 22,2718,433781.15,4812477.88,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-43-2718.csv
44-131-248-1-44-3097,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,44,SAN FERNANDO 66,3097,433423.91,4812350.44,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-44-3097.csv
44-131-248-1-444-914,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,444,PASEO DE PEREDA 35,914,435544.64,4812681.57,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-444-914.csv
44-131-248-1-45-3635,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,45,AVENIDA DE VALDECILLA,3635,432924.67,4812168.16,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-45-3635.csv
44-131-248-1-77-1832,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,77,CALVO SOTELO 1,1832,434634.27,4812588.55,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-77-1832.csv
44-131-248-1-92-4241,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,1,248,92,JERONIMO SAINZ DE LA MAZA,4241,433191.62,4812028.87,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-248-1-92-4241.csv
44-131-249-2-10-3169,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,10,CUATRO CAMINOS,3169,433332.95,4812298.22,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-10-3169.csv
44-131-249-2-11-3640,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,11,SAN FERNANDO,3640,433774.01,4812459.48,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-11-3640.csv
44-131-249-2-12-4276,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,12,JESUS DE MONASTERIO 21,4276,434383.45,4812617.23,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-12-4276.csv
44-131-249-2-13-4483,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,13,AYUNTAMIENTO,4483,434576.7,4812586.76,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-13-4483.csv
44-131-249-2-14-4764,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,14,CORREOS,4764,434861.22,4812585.2,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-14-4764.csv
44-131-249-2-15-5006,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,15,JARDINES DE PEREDA,5006,435103.65,4812610.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-15-5006.csv
44-131-249-2-16-5515,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,16,PUERTO CHICO,5515,435599.64,4812655.52,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-16-5515.csv
44-131-249-2-17-5917,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,17,CASTELAR,5917,435963.51,4812715.29,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-17-5917.csv
44-131-249-2-324-6363,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,324,PLAZA DE SAN MARTIN,6363,436378.35,4812822.92,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-324-6363.csv
44-131-249-2-428-0,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,428,INSTITUTOS PEÑACASTILLO,0,431131.78125,4810968.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-428-0.csv
44-131-249-2-62-1259,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,62,CAMPOGIRO,1259,431645.43,4811747.6,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-62-1259.csv
44-131-249-2-63-1586,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,63,CAMPOGIRO 5,1586,431946.45,4811844.4,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-63-1586.csv
44-131-249-2-65-2308,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,65,CAJO 5,2308,432643.99,4811879.31,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-65-2308.csv
44-131-249-2-9-2738,2025-02-28T21:02:09.933Z,44,E4,SE SAN MARTIN-INSTITUTOS,2,249,9,VALDECILLA,2738,432951.54,4812149.14,http://datos.santander.es/api/datos/lineas_bus_secuencia/44-131-249-2-9-2738.csv
47-189-346-1-10-2567,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,10,CUATRO CAMINOS,2567,433332.95,4812298.22,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-10-2567.csv
47-189-346-1-11-3037,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,11,SAN FERNANDO,3037,433774.01,4812459.48,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-11-3037.csv
47-189-346-1-14-4160,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,14,CORREOS,4160,434861.22,4812585.2,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-14-4160.csv
47-189-346-1-15-4404,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,15,JARDINES DE PEREDA,4404,435103.65,4812610.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-15-4404.csv
47-189-346-1-16-4912,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,16,PUERTO CHICO,4912,435599.64,4812655.52,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-16-4912.csv
47-189-346-1-17-5315,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,17,CASTELAR,5315,435963.51,4812715.29,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-17-5315.csv
47-189-346-1-18-5705,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,18,REINA VICTORIA 18,5705,436336.37,4812788.51,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-18-5705.csv
47-189-346-1-19-6164,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,19,AVENIDA REINA VICTORIA,6164,436782.59,4812905.09,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-19-6164.csv
47-189-346-1-20-6509,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,20,AVENIDA REINA VICTORIA 38,6509,437060.1,4813101.22,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-20-6509.csv
47-189-346-1-21-6919,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,21,LA MAGDALENA,6919,437302.07,4813366.61,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-21-6919.csv
47-189-346-1-23-7567,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,23,PLAZA DE ITALIA 3,7567,436845.0,4813749.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-23-7567.csv
47-189-346-1-24-7909,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,24,PARQUE PIQUIO,7909,436607.02,4813991.24,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-24-7909.csv
47-189-346-1-25-8211,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,25,DOCTOR FLEMING,8211,436358.34,4814143.65,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-25-8211.csv
47-189-346-1-28-8910,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,28,LOS AGUSTINOS,8910,436101.3125,4814457.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-28-8910.csv
47-189-346-1-3-191,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,3,JOSE MARIA COSSIO 54,191,431463.9,4812342.89,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-3-191.csv
47-189-346-1-4-380,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,4,JOSE MARIA COSSIO 33,380,431648.96,4812386.19,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-4-380.csv
47-189-346-1-5-638,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,5,JOSE MARIA COSSIO 17,638,431900.51,4812414.71,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-5-638.csv
47-189-346-1-509-2017,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,509,INTERCAMBIADOR DE VALDECILLA,2017,432846.2,4812075.69,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-509-2017.csv
47-189-346-1-51-0,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,51,JOSE MARIA COSSIO 52,0,431456.44,4812361.27,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-51-0.csv
47-189-346-1-510-3820,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,510,JESÚS DE MONASTERIO 7,3820,434519.94,4812607.44,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-510-3820.csv
47-189-346-1-517-8526,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,517,LOS AGUSTINOS,8526,436161.18,4814358.74,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-517-8526.csv
47-189-346-1-6-818,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,6,JOSE MARIA COSSIO 1,818,432079.99,4812415.51,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-6-818.csv
47-189-346-1-7-1094,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,7,MANUEL LLANO,1094,432055.08,4812221.07,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-7-1094.csv
47-189-346-1-8-1527,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,8,INSTITUTO TORRES QUEVEDO,1527,432433.42,4812112.59,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-8-1527.csv
47-189-346-1-9-2154,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,1,346,9,VALDECILLA,2154,432951.54,4812149.14,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-346-1-9-2154.csv
47-189-347-2-28-0,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,28,LOS AGUSTINOS,0,436101.3125,4814457.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-28-0.csv
47-189-347-2-29-394,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,29,PLAZA DOCTOR FLEMING,394,436301.34,4814152.67,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-29-394.csv
47-189-347-2-30-833,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,30,PIQUIO,833,436648.16,4813917.93,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-30-833.csv
47-189-347-2-31-1122,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,31,PLAZA DE ITALIA,1122,436856.4,4813722.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-31-1122.csv
47-189-347-2-33-1706,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,33,LA MAGDALENA,1706,437256.31,4813400.05,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-33-1706.csv
47-189-347-2-34-2247,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,34,GONZALEZ DE RIANCHO,2247,436988.99,4813060.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-34-2247.csv
47-189-347-2-35-2585,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,35,REINA VICTORIA 79,2585,436707.29,4812890.24,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-35-2585.csv
47-189-347-2-36-2963,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,36,SAN MARTIN,2963,436341.71,4812803.88,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-36-2963.csv
47-189-347-2-37-3370,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,37,CASTELAR 29,3370,435952.5,4812738.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-37-3370.csv
47-189-347-2-38-3631,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,38,CASTELAR 1,3631,435694.52,4812764.57,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-38-3631.csv
47-189-347-2-39-4115,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,39,PASEO DE PEREDA,4115,435258.42,4812645.73,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-39-4115.csv
47-189-347-2-40-4556,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,40,CORREOS,4556,434821.86,4812597.12,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-40-4556.csv
47-189-347-2-41-4815,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,41,PLAZA AYUNTAMIENTO,4815,434566.4,4812609.6,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-41-4815.csv
47-189-347-2-43-5629,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,43,SAN FERNANDO 22,5629,433781.15,4812477.88,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-43-5629.csv
47-189-347-2-44-6009,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,44,SAN FERNANDO 66,6009,433423.91,4812350.44,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-44-6009.csv
47-189-347-2-45-6542,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,45,AVENIDA DE VALDECILLA,6542,432924.67,4812168.16,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-45-6542.csv
47-189-347-2-46-7185,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,46,TORRES QUEVEDO 22,7185,432375.48,4812148.34,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-46-7185.csv
47-189-347-2-47-7558,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,47,PLAZA MANUEL LLANO,7558,432092.31,4812250.65,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-47-7558.csv
47-189-347-2-48-7907,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,48,JOSE MARIA COSSIO 12,7907,432030.4,4812432.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-48-7907.csv
47-189-347-2-49-8071,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,49,JOSE MARIA COSSIO 24,8071,431866.58,4812431.76,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-49-8071.csv
47-189-347-2-50-8327,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,50,JOSE MARIA COSSIO 44,8327,431614.41,4812394.46,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-50-8327.csv
47-189-347-2-51-8489,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,51,JOSE MARIA COSSIO 52,8489,431456.44,4812361.27,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-51-8489.csv
47-189-347-2-511-114,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,511,INTERCAMBIADOR DEL SARDINERO 1,114,436145.99,4814352.13,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-511-114.csv
47-189-347-2-512-6671,2025-02-28T21:02:09.933Z,47,E7,J.M.COSSIO-AGUSTINOS,2,347,512,INTERCAMBIADOR AVENIDA VALDECILLA,6671,432823.74,4812088.95,http://datos.santander.es/api/datos/lineas_bus_secuencia/47-189-347-2-512-6671.csv
51-190-348-1-101-7747,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,101,LOS CASTROS 23,7747,436379.66,4813881.89,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-101-7747.csv
51-190-348-1-111-431,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,111,MENENDEZ PELAYO 97,431,436029.59,4813220.29,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-111-431.csv
51-190-348-1-112-745,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,112,MENENDEZ PELAYO 61,745,435721.83,4813156.61,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-112-745.csv
51-190-348-1-113-1180,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,113,VALLICIERGO 7,1180,435365.79,4812940.1,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-113-1180.csv
51-190-348-1-114-1484,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,114,SANTA LUCIA 1,1484,435081.14,4812859.63,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-114-1484.csv
51-190-348-1-115-1777,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,115,GUEVARA 21,1777,434791.4,4812836.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-115-1777.csv
51-190-348-1-116-2029,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,116,PLAZA DE LOS REMEDIOS,2029,434689.34,4812726.54,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-116-2029.csv
51-190-348-1-118-3922,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,118,CAMILO ALONSO VEGA 22,3922,433331.78,4812503.9,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-118-3922.csv
51-190-348-1-119-4166,2025-02-28T21:02:09.933Z,51,5C1,MIRANDA/PLZ. ITALIA C1,1,348,119,CAMILO ALONSO VEGA 32,4166,433473.81,4812703.0,http://datos.santander.es/api/datos/lineas_bus_secuencia/51-190-348-1-119-4166.csv
